ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-04-14,37.34667315566644,36.31055737499958,38.31153535187103,37.34667315566644,37.34667315566644,0.0020513237841306635,0.0020513237841306635,0.0020513237841306635,0.0020513237841306635,0.0020513237841306635,0.0020513237841306635,0.0,0.0,0.0,37.34872447945057
2023-04-18,37.35470686064974,36.04578228158502,38.011454548840504,37.35470686064974,37.35470686064974,-0.29799880306879595,-0.29799880306879595,-0.29799880306879595,-0.29799880306879595,-0.29799880306879595,-0.29799880306879595,0.0,0.0,0.0,37.05670805758095
2023-04-24,37.367055952754924,36.40800112436379,38.24552011665732,37.367055952754924,37.367055952754924,-0.01894251722300061,-0.01894251722300061,-0.01894251722300061,-0.01894251722300061,-0.01894251722300061,-0.01894251722300061,0.0,0.0,0.0,37.34811343553192
2023-05-03,37.3855795909127,36.1708749996588,38.12313765427986,37.3855795909127,37.3855795909127,-0.20383167616273964,-0.20383167616273964,-0.20383167616273964,-0.20383167616273964,-0.20383167616273964,-0.20383167616273964,0.0,0.0,0.0,37.181747914749955
2023-05-15,37.41034191716207,36.433138340177614,38.39747133473224,37.41034191716207,37.41034191716207,-0.018942517222094113,-0.018942517222094113,-0.018942517222094113,-0.018942517222094113,-0.018942517222094113,-0.018942517222094113,0.0,0.0,0.0,37.39139939993998
2023-05-21,37.42272308028676,36.75584032861055,38.78264066346887,37.42272308028676,37.42272308028676,0.3337000193571095,0.3337000193571095,0.3337000193571095,0.3337000193571095,0.3337000193571095,0.3337000193571095,0.0,0.0,0.0,37.75642309964387
2023-05-25,37.430977189036554,36.56947286654417,38.518798516793325,37.430977189036554,37.430977189036554,0.08645416079991813,0.08645416079991813,0.08645416079991813,0.08645416079991813,0.08645416079991813,0.08645416079991813,0.0,0.0,0.0,37.51743134983647
2023-05-27,37.435104243595774,36.606349227346215,38.52591349134152,37.435104243595774,37.435104243595774,0.09856749251244588,0.09856749251244588,0.09856749251244588,0.09856749251244588,0.09856749251244588,0.09856749251244588,0.0,0.0,0.0,37.53367173610822
2023-05-30,37.441294825434596,36.08331211361892,38.1428823164318,37.441294825434596,37.441294825434596,-0.2979988030688497,-0.2979988030688497,-0.2979988030688497,-0.2979988030688497,-0.2979988030688497,-0.2979988030688497,0.0,0.0,0.0,37.143296022365746
2023-05-31,37.44335835271421,36.303421803440415,38.21116436291568,37.44335835271421,37.44335835271421,-0.2038316761631293,-0.2038316761631293,-0.2038316761631293,-0.2038316761631293,-0.2038316761631293,-0.2038316761631293,0.0,0.0,0.0,37.23952667655109
